account,duration,credit_history,amount,savings,employment,guarantors,residence,age,credits_number,job,maintenance_people,telephone,foreign,real_estate,life_insurance,car,housing_rent,sex,purpose,target
1,0.18,2,0.1311,2,2,1,4,0.34,1,2,1,0,1,0,0,1,0,1,business,1
-1,0.18,0,0.1552,1,3,1,1,0.31,1,2,1,1,1,0,1,0,0,1,business,1
-1,0.12,2,0.0451,1,3,1,4,0.21,1,2,1,0,1,0,1,0,1,1,retraining,0
-1,0.3,0,0.4036,0,1,1,3,0.25,3,2,1,0,1,0,0,1,0,1,business,1
0,0.36,2,0.09095,1,2,1,4,0.37,1,2,1,1,1,0,0,0,0,1,education,0
1,0.24,3,0.1032,1,0,1,2,0.34,1,3,1,1,1,0,1,0,0,0,furniture,0
1,0.09,4,0.07505,1,4,1,3,0.34,2,3,1,1,1,0,0,1,0,0,education,0
-1,0.12,2,0.045,0,2,1,2,0.23,1,2,1,0,1,0,0,1,0,1,car_new,0
1,0.36,3,0.4043,2,4,1,4,0.42,4,3,1,1,1,0,0,1,0,1,car_new,0
-1,0.42,3,0.2185,1,3,1,2,0.26,2,2,2,1,1,0,1,0,0,1,television,0
2,0.12,2,0.0665,1,1,1,1,0.26,1,2,1,0,1,1,0,0,0,1,car_new,1
-1,0.15,2,0.12555,1,0,1,4,0.23,1,2,1,0,1,0,0,1,1,0,car_new,1
0,0.24,2,0.14175,3,4,1,4,0.53,1,2,1,0,1,0,1,0,0,1,furniture,1
2,0.15,4,0.06355,0,2,1,4,0.39,2,2,1,1,1,0,0,0,0,1,television,0
-1,0.06,4,0.2358,0,1,1,3,0.44,2,1,2,0,1,1,0,0,0,1,car_new,1
0,0.18,2,0.1331,0,3,1,3,0.32,1,2,1,0,0,0,1,0,0,1,car_new,1
1,0.08,2,0.038,1,3,0,2,0.44,1,1,1,0,1,1,0,0,0,0,television,1
0,0.12,2,0.10705,2,3,1,1,0.35,1,2,1,0,1,0,0,0,0,1,television,1
0,0.24,3,0.19315,1,2,1,2,0.32,1,2,1,0,1,0,0,0,0,1,business,1
0,0.24,1,0.07795,1,3,1,4,0.5,1,2,1,1,1,0,0,1,0,1,business,1
-1,0.18,1,0.0721,1,3,1,4,0.32,2,1,2,0,1,0,0,0,0,1,car_new,0
1,0.2,3,0.13145,1,2,1,3,0.29,2,2,1,1,1,0,0,1,0,1,others,1
0,0.48,4,0.50635,3,2,1,2,0.44,1,2,1,0,1,0,0,0,0,1,car_new,0
1,0.15,3,0.0756,4,2,1,3,0.61,2,2,1,0,1,0,1,0,0,1,repairs,0
0,0.04,2,0.03005,1,1,1,3,0.23,1,1,2,0,1,1,0,0,1,0,furniture,1
1,0.26,2,0.3983,1,1,1,3,0.3,2,2,1,0,1,0,0,1,0,1,car_used,1
0,0.12,2,0.03595,1,4,1,4,0.41,1,1,2,0,1,0,0,1,0,1,education,0
2,0.42,4,0.2398,1,4,1,4,0.56,1,2,1,0,1,0,0,0,0,1,car_used,1
1,0.12,2,0.04915,4,1,1,4,0.19,1,1,1,0,1,1,0,0,1,0,furniture,1
1,0.18,2,0.6488,1,0,1,4,0.38,1,3,1,1,1,0,0,0,0,0,car_used,0
0,0.24,4,0.1436,2,4,1,4,0.36,1,2,2,1,1,1,0,0,0,1,television,1
0,0.15,4,0.1394,1,3,0,3,0.24,2,2,1,0,1,0,0,1,0,0,furniture,1
1,0.48,0,0.72105,1,2,1,2,0.25,1,2,1,1,1,0,0,1,0,1,business,0
0,0.36,3,0.4786,1,1,1,1,0.28,2,2,1,0,1,0,0,1,0,1,business,0
-1,0.24,2,0.11515,1,4,0,1,0.45,1,2,1,0,1,1,0,0,0,1,car_new,0
0,0.18,4,0.13875,1,3,1,2,0.31,2,2,1,0,1,0,1,0,0,1,car_new,0
0,0.06,2,0.1054,1,3,1,2,0.29,1,2,1,0,1,1,0,0,1,1,television,1
1,0.6,2,0.3144,1,2,1,4,0.42,1,2,1,0,1,0,0,0,0,1,education,0
-1,0.16,4,0.13125,1,4,0,4,0.43,1,2,1,1,1,0,1,0,1,1,car_new,0
0,0.36,4,0.2921,1,4,1,2,0.35,2,2,2,1,1,0,1,0,0,1,car_used,1
2,0.15,4,0.118,3,2,1,2,0.36,1,2,1,1,1,0,0,1,0,1,car_used,1
0,0.06,2,0.0669,3,2,1,4,0.62,1,2,1,0,1,1,0,0,0,1,domestic_appliances,1
0,0.36,2,0.04545,3,4,1,4,0.36,1,2,1,0,1,0,1,0,0,1,car_new,1
-1,0.12,2,0.084,3,4,1,1,0.35,1,2,1,0,1,1,0,0,0,1,television,1
0,0.12,0,0.13795,1,4,1,4,0.34,2,2,1,0,1,0,1,0,0,1,furniture,1
1,0.24,2,0.1756,2,3,1,3,0.38,2,2,1,1,1,0,0,1,0,1,car_new,1
-1,0.21,3,0.1707,1,1,1,1,0.26,2,2,1,0,1,0,1,0,0,1,education,0
0,0.24,3,0.23395,1,3,1,3,0.35,2,1,1,1,1,0,0,1,0,1,car_used,1
-1,0.12,2,0.0929,1,1,1,1,0.22,1,2,1,0,1,0,0,1,1,0,furniture,1
1,0.48,0,0.9212,1,2,1,2,0.32,1,3,1,1,0,0,1,0,0,0,others,0
0,0.15,2,0.1906,2,1,1,4,0.23,1,2,1,1,1,0,0,1,0,0,car_used,1
1,0.24,2,0.2542,0,4,1,4,0.42,1,2,1,1,1,0,0,1,0,0,television,1
1,0.15,2,0.0722,0,1,1,1,0.23,1,2,1,0,1,0,1,0,0,1,television,1
1,0.24,1,0.09185,1,3,1,4,0.34,1,1,1,0,1,0,0,0,0,0,education,0
-1,0.18,2,0.0941,1,2,1,4,0.25,2,2,1,0,1,0,0,1,1,0,television,0
1,0.48,3,0.3112,1,4,1,4,0.5,1,2,1,0,1,0,0,0,0,1,education,0
-1,0.12,2,0.08285,1,2,1,2,0.27,1,2,1,0,1,1,0,0,0,1,furniture,1
